Project	Serial Number	Site 	Area	Energy Meter 	AC Controller	Present Sensor 	Ambient Sensor 	Supply Air Sensor		
ADEST(K)-000003	ADEST(K)-000003-0001	About Coffee Jeju	1-1	-	25327	25334	25335	25349
ADEST(K)-000003	ADEST(K)-000003-0002	About Coffee Jeju	1-2	-	25331	25343	25336	-
ADEST(K)-000003	ADEST(K)-000003-0003	About Coffee Jeju	1-3	-	25329	25344	25337	-
ADEST(K)-000003	ADEST(K)-000003-0004	About Coffee Jeju	1-4	-	25328	25345	25338	25350
ADEST(K)-000003	ADEST(K)-000003-0005	About Coffee Jeju	1-5	-	25333	25346	25339	-
ADEST(K)-000003	ADEST(K)-000003-0006	About Coffee Jeju	1-6	-	25330	25347	25340	-
ADEST(K)-000003	ADEST(K)-000003-0007	About Coffee Jeju	1-7	-	25332	25348	25341	-
ADEST(K)-000003	ADEST(K)-000003-0008	About Coffee Jeju	2-1	-	25405	25358	25351	-
ADEST(K)-000003	ADEST(K)-000003-0009	About Coffee Jeju	2-2	-	25403	25359	25352	-
ADEST(K)-000003	ADEST(K)-000003-0010	About Coffee Jeju	2-3	-	25404	25360	25353	25370
ADEST(K)-000003	ADEST(K)-000003-0011	About Coffee Jeju	2-4	-	25402	25361	25354	-
ADEST(K)-000003	ADEST(K)-000003-0012	About Coffee Jeju	2-5	-	25401	25362	25355	-
ADEST(K)-000003	ADEST(K)-000003-0013	About Coffee Jeju	2-6	-	25400	25363	25356	-
ADEST(K)-000003	ADEST(K)-000003-0014	About Coffee Jeju	2-7	-	25322	25364	25357	25371
ADEST(K)-000003	ADEST(K)-000003-0015	About Coffee Jeju	2-8	-	25326	25372	25365	-
ADEST(K)-000003	ADEST(K)-000003-0016	About Coffee Jeju	2-9	-	25321	25373	25366	-
ADEST(K)-000003	ADEST(K)-000003-0017	About Coffee Jeju	2-10	-	25323	25374	25367	-
ADEST(K)-000003	ADEST(K)-000003-0018	About Coffee Jeju	2-11	-	25324	25375	25368	-
ADEST(K)-000003	ADEST(K)-000003-0019	About Coffee Jeju	2-12	-	25325	25376	25369	-
